image,caption,short_description,story,story_grounded_ratio,story_entity_coverage,story_names,story_new_characters,story_new_places,story_repairs,flags
10010052.jpg,A woman in a blue shirt and blue jeans is standing on a skateboard .,A woman stands on a skateboard in a blue shirt and blue jeans.,"A woman stands on a skateboard, her blue shirt and jeans blending into the background. She leans forward slightly, balancing precariously over the board. Her eyes scan the area, searching for something she might need before taking off. As she steps back onto the skateboard, she smiles confidently, ready to embark on whatever adventure awaits.",0.8,1.0,0,0,0,1,0
1001465944.jpg,A group of people walking down a street .,A group of people walks down a street.,"The sun was just beginning to rise over the city, casting long shadows across the cobblestone streets below. A group of people strolled leisurely along the bustling avenue, chatting animatedly under the warm morning light. Some wore casual outfits, while others sported smart suits for workdays ahead. As they walked, their footsteps echoed softly against the pavement, blending seamlessly into the rhythm of the early morning commute.",0.421,1.0,0,0,0,0,0
1003163366.jpg,A man and a dog are sleeping on a bench .,A man sleeps on a bench while a dog rests nearby.,"The sun was beginning to set behind the tall trees when I found myself sitting alone on a wooden bench in a quiet park. It wasn't until I saw the figure lying on the bench that my eyes widened. There was a man asleep on the bench, his face peaceful, his head resting on his arms. Next to him lay a large, fluffy dog who seemed content to snore softly beside him. The sound of birds chirping filled the air around me, adding to the serene atmosphere.",0.706,1.0,0,1,2,1,0
100759042.jpg,A man in a gray hooded sweatshirt is looking at his cellphone .,A man in a gray hoodie looks at his cellphone.,"The man in the gray hooded sweatshirt sat on a bench under an overcast sky, staring intently at his cellphone screen. His fingers hovered over the touchpad, making barely perceptible taps against the glass. He seemed lost in thought, deep in conversation or maybe just scrolling through social media. The world around him was silent, save for the occasional rustle of leaves from nearby trees. As he continued to stare, his face remained expressionless, hiding any signs of emotion or distraction.",0.409,1.0,0,0,3,1,1
10082347.jpg,A man in a yellow shirt is holding onto a pole .,A man in a yellow shirt holds onto a pole.,"A man wearing a yellow shirt stands near a pole, his hands gripping the metal structure tightly. He looks determined, ready for whatever might come next.",0.833,1.0,0,0,0,1,1
1009434119.jpg,The black and white dog is running on the grass .,A black and white dog runs on the grass.,"The black and white dog bounded across the lush green grass, its fur glistening in the sun's warm rays. It ran swiftly, its tail twitching excitedly behind it, each step forward more determined than the last. As it approached a small stream nearby, the dog paused for a moment, nose pressed against the cool water, clearly relishing every drop splashing against its coat. Finally, after several circuits around the area, the dog turned back towards its owner, wagging its tail vigorously, eager to be reunited with its master who was waiting patiently under an old oak tree.",0.333,1.0,0,0,2,1,1
1009692167.jpg,A man in a green vest is walking his dog on the street .,A man in a green vest walks his dog on the street.,"The sun was just beginning to set over the bustling streets, casting long shadows across the pavement. In the distance, the occasional car drove past, its headlights illuminating the dimly lit area. A man dressed in a vibrant green vest walked his dog along the sidewalk, the leash taut as he kept a close eye on the furry companion. They passed by storefronts adorned with colorful banners advertising local businesses, each with its own unique charm. Occasionally, the dog would wag its tail or nuzzle against the man's leg, adding a touch of joy to the evening stroll. As they neared the corner, the man paused, allowing the dog to explore its surroundings before continuing their journey home.",0.471,1.0,0,0,1,1,0
1010470346.jpg,Two men are standing in front of a building with a white building in the background .,Two men stand in front of a white building with another building in the background.,"An elderly couple stands in front of an old, weathered building. The sun casts long shadows over their faces, highlighting wrinkles etched into their skin. In the distance, faintly visible through the fog, another building looms against the gray sky. They seem lost in thought, both looking directly ahead, each deep in their own reverie. Suddenly, a gust of wind blows past, rustling leaves and sending dust dancing around them. Despite the changing conditions outside, they remain immobile, lost in their silent conversation.",0.4,0.6,0,1,1,1,1
101093029.jpg,A man and a woman are walking in front of a building .,A man and a woman walk in front of a building.,"A man and a woman walked together in front of an old, weathered building. They held hands, their steps synchronized, as they explored the narrow alleyways behind the structure. Occasionally, the man would glance over his shoulder, making eye contact with the woman, whose smile was warm and inviting. As they continued their journey, their footsteps echoed softly against the cobblestones, creating a soothing melody underfoot.",0.737,1.0,0,0,0,0,1
1012150929.jpg,A young boy in a red shirt is playing an arcade game .,A young boy in a red shirt plays an arcade game.,"The young boy in a red shirt sat cross-legged on the worn wooden floor of an old arcade, his eyes glued to the neon lights above. He had been here for hours, fingers trembling as he pressed buttons with practiced precision. Suddenly, the screen flickered and a familiar character appeared, its eyes wide with excitement. ""Yes! Yes!"" the boy shouted, jumping up and down with joy. His mother's voice drifted through the air, urging him to be more careful. But the arcade was his sanctuary, where he could lose himself in the world of pixels and sound.",0.6,0.5,0,1,1,1,0
